ID,conceptscheme,conceptschemeid,CODE,OMSCHRIJVINGKORT,OMSCHRIJVING,GEMEENTE,DISTRICT,PROVINCIE,OCMW,OCMWV,AGB,APB,DV,OV,PV,HVZ,PZ,COMMENTAAR,GELDIGHEIDSPERIODEBEGINDATUM,GELDIGHEIDSPERIODEEINDDATUM,CREATIEMOMENT,CREATIENAAM,WIJZIGINGMOMENT,WIJZIGINGNAAM,VLAGVERWIJDERING,TV
1,https://data.vlaanderen.be/id/conceptscheme/BesluitDocumentType,https://data.vlaanderen.be/id/concept/BesluitDocumentType/3fa67785-ffdc-4b30-8880-2b99d97b4dee,Besluitenlijst,Besluitenlijst,Besluitenlijst,x,x,x,x,x,X,X,X,X,X,X,X,,01/01/00,01/01/00,"01/01/00 00:00:01,000000000",INIT,"01/01/00 00:00:01,000000000",INIT,N,
2,https://data.vlaanderen.be/id/conceptscheme/BesluitType,https://data.vlaanderen.be/id/concept/BesluitType/f8c070bd-96e4-43a1-8c6e-532bcd771251,Oprichting of deelname EVA,Oprichting van of deelname in EVA,Oprichting van of deelname in EVA,x,,x,,,,,,,,,,,01/01/00,01/01/00,"01/01/00 00:00:01,000000000",INIT,"01/01/00 00:00:01,000000000",INIT,N,
3,https://data.vlaanderen.be/id/conceptscheme/BesluitType,https://data.vlaanderen.be/id/concept/BesluitType/fb21d14b-734b-48f4-bd4e-888163fd08e8,Rechtspositieregeling (RPR),Rechtspositieregeling (RPR),Rechtspositieregeling (RPR),x,,x,x,x,x,x,x,x,x,,,,01/01/00,01/01/00,"01/01/00 00:00:01,000000000",INIT,"01/01/00 00:00:01,000000000",INIT,N,
8,https://data.vlaanderen.be/id/conceptscheme/BesluitType,https://data.vlaanderen.be/id/concept/BesluitType/40831a2c-771d-4b41-9720-0399998f1873,Budget,Budget,Budget,x,x,x,x,x,X,X,,,,,,,01/01/00,01/01/00,"01/01/00 00:00:01,000000000",INIT,"29/04/16 07:32:28,000000000",INIT,N,
10,https://data.vlaanderen.be/id/conceptscheme/BesluitType,https://data.vlaanderen.be/id/concept/BesluitType/380674ee-0894-4c41-bcc1-9deaeb9d464c,Oprichting districtsbestuur,Oprichting districtsbestuur,Oprichting districtsbestuur,x,,,,,,,,,,,,,01/01/00,01/01/00,"01/01/00 00:00:01,000000000",INIT,"01/01/00 00:00:01,000000000",INIT,N,
14,https://data.vlaanderen.be/id/conceptscheme/BesluitType,https://data.vlaanderen.be/id/concept/BesluitType/f56c645d-b8e1-4066-813d-e213f5bc529f,Meerjarenplan(aanpassing),Meerjarenplan(aanpassing),Meerjarenplan(aanpassing),x,x,x,x,x,X,X,,,,,,,01/01/00,01/01/00,"01/01/00 00:00:01,000000000",INIT,"29/04/16 07:34:04,000000000",INIT,N,
18,https://data.vlaanderen.be/id/conceptscheme/BesluitType,https://data.vlaanderen.be/id/concept/BesluitType/e44c535d-4339-4d15-bdbf-d4be6046de2c,Jaarrekening,Jaarrekening,Jaarrekening,x,x,x,x,x,X,X,,,,,,,01/01/00,01/01/00,"01/01/00 00:00:01,000000000",INIT,"01/01/00 00:00:01,000000000",INIT,N,
26,https://data.vlaanderen.be/id/conceptscheme/BesluitType,https://data.vlaanderen.be/id/concept/BesluitType/c945b531-4742-43fe-af55-b13da6ecc6fe,Wijziging autonoom bedrijf,Wijziging statuten autonoom bedrijf,Wijziging statuten autonoom bedrijf,x,,x,,,X,X,,,,,,,01/01/00,01/01/00,"01/01/00 00:00:01,000000000",INIT,"01/01/00 00:00:01,000000000",INIT,N,
27,https://data.vlaanderen.be/id/conceptscheme/BesluitType,https://data.vlaanderen.be/id/concept/BesluitType/bd0b0c42-ba5e-4acc-b644-95f6aad904c7,Oprichting autonoom bedrijf,Oprichting autonoom bedrijf,Oprichting autonoom bedrijf,x,,x,,,,,,,,,,,01/01/00,01/01/00,"01/01/00 00:00:01,000000000",INIT,"01/01/00 00:00:01,000000000",INIT,N,
28,https://data.vlaanderen.be/id/conceptscheme/BesluitType,https://data.vlaanderen.be/id/concept/BesluitType/e27ef237-29de-49b8-be22-4ee2ab2d4e5b,Toetreding rechtspersoon,Toetreding tot andere rechtspersoon,Toetreding tot andere rechtspersoon,,,x,x,x,X,X,x,x,x,,,,01/01/00,01/01/00,"01/01/00 00:00:01,000000000",INIT,"01/01/00 00:00:01,000000000",INIT,N,
